0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:50:56 +0900] "GET /kgn/naverLog.do?code=DWsO2zw5FN5VahPHi0&state=900029107360670812361320429096660412394 HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:50:56 +0900] "GET /kgn/naverLogout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:50:56 +0900] "GET /kgn/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:50:56 +0900] "GET /kgn/home HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:50:57 +0900] "GET /kgn/login HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:50:58 +0900] "GET /kgn/naverLog.do?code=itU92rutm8FL87x8ak&state=900029107360670812361320429096660412394 HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:52:16 +0900] "GET /kgn/naverLogout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:52:16 +0900] "GET /kgn/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:52:16 +0900] "GET /kgn/home HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:52:17 +0900] "GET /kgn/login HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:52:21 +0900] "GET /kgn/naverLog.do?code=ffxaE2RHXGSuXca0Ip&state=900029107360670812361320429096660412394 HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:52:26 +0900] "GET /kgn/naverLogout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:52:26 +0900] "GET /kgn/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:52:26 +0900] "GET /kgn/home HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:54:43 +0900] "GET /kgn/login HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:54:44 +0900] "GET /kgn/naverLog.do?code=VZzYuX7YBnWLlyli5G&state=900029107360670812361320429096660412394 HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:54:57 +0900] "GET /kgn/naverLogout.do HTTP/1.1" 500 3248
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:55:05 +0900] "GET /kgn/naverLogout.do HTTP/1.1" 500 3248
